name;description;resource;action
create-any-referensi;mengelola data referensi;referensi;create:any
create-any-referensi-pengguna;mengelola data pengguna;ref-pengguna;create:any
create-any-referensi-role;mengelola data referensi role;ref-role;create:any
create-any-referensi-permission;mengelola data referensi permission;ref-permission;create:any
create-any-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;create:any
create-any-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;create:any
create-any-referensi-materi;mengelola data referensi materi;ref-materi;create:any
create-any-referensi-kelas;mengelola data referensi kelas;ref-kelas;create:any
create-any-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;create:any
create-any-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;create:any
create-any-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;create:any
create-any-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;create:any
create-any-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;create:any
create-any-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;create:any
create-any-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;create:any
create-any-referensi-negara;mengelola data referensi negara;ref-negara;create:any
create-any-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;create:any
create-any-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;create:any
create-any-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;create:any
create-any-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;create:any
create-any-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;create:any
create-any-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;create:any
create-own-referensi;mengelola data referensi;referensi;create:own
create-own-referensi-pengguna;mengelola data pengguna;ref-pengguna;create:own
create-own-referensi-role;mengelola data referensi role;ref-role;create:own
create-own-referensi-permission;mengelola data referensi permission;ref-permission;create:own
create-own-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;create:own
create-own-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;create:own
create-own-referensi-materi;mengelola data referensi materi;ref-materi;create:own
create-own-referensi-kelas;mengelola data referensi kelas;ref-kelas;create:own
create-own-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;create:own
create-own-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;create:own
create-own-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;create:own
create-own-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;create:own
create-own-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;create:own
create-own-referensi-satker-anggaran;mengelola data referensi satker anggaran;ref-satker-anggaran;create:own
create-own-referensi-unit-kerja;mengelola data referensi unit kerja;ref-unit-kerja;create:own
create-own-referensi-negara;mengelola data referensi negara;ref-negara;create:own
create-own-referensi-provinsi;mengelola data referensi provinsi;ref-provinsi;create:own
create-own-proses-setup-kegiatan;mengelola proses setup kegiatan;proses-setup-kegiatan;create:own
create-own-proses-pengajuan;mengelola proses pengajuan;proses-pengajuan;create:own
create-own-proses-verifikasi;mengelola proses verifikasi;proses-verifikasi;create:own
create-own-proses-daftar-nominatif;mengelola proses daftar nominatif;proses-daftar-nominatif;create:own
create-own-proses-pembayaran;mengelola proses pembayaran;proses-pembayaran;create:own
update-any-referensi;mengelola data referensi;referensi;update:any
update-any-referensi-pengguna;mengelola data pengguna;ref-pengguna;update:any
update-any-referensi-role;mengelola data referensi role;ref-role;update:any
update-any-referensi-permission;mengelola data referensi permission;ref-permission;update:any
update-any-referensi-role-permission;mengelola data referensi role permission;ref-role-permission;update:any
update-any-referensi-narasumber;mengelola data referensi narasumber;ref-narasumber;update:any
update-any-referensi-materi;mengelola data referensi materi;ref-materi;update:any
update-any-referensi-kelas;mengelola data referensi kelas;ref-kelas;update:any
update-any-referensi-sbm-honorarium;mengelola data referensi sbm honorarium;ref-sbm-honorarium;update:any
update-any-referensi-sbm-uh-dalam-negeri;mengelola data referensi sbm uh dalam negeri;ref-sbm-uh-dalam-negeri;update:any
update-any-referensi-sbm-uh-luar-negeri;mengelola data referensi sbm uh luar negeri;ref-sbm-uh-luar-negeri;update:any
update-any-referensi-sbm-uh-uang-representasi;mengelola data referensi sbm uh uang representasi;ref-sbm-uh-uang-representasi;update:any
update-any-referensi-pengelola-keuangan;mengelola data referensi pengelola keuangan;ref-pengelola-keuangan;update:any
