"roleId";"permissionId"
superadmin;cm4jxm1e60000cmxxvfh9bcx7
superadmin;cm4jxm1ei0002cmxx3nles1vn
superadmin;cm4jxm1f0000dcmxxy7rqjqwq
superadmin;cm4jxm1m2004wcmxx6kfimdiu
superadmin;cm4jxm1mg0056cmxxmnay32b1
superadmin;cm4jxm1mj0058cmxxmul9bi38
superadmin;cm4jxm1fz000lcmxxfnhjx840
superadmin;cm4jxm1m80050cmxxo6eme9of
superadmin;cm4jxm1fp000jcmxxv6hh6f0j
superadmin;cm4jxm1mt005gcmxxulz4woy2
superadmin;cm4jxm1f3000fcmxx7ctuxcdx
superadmin;cm4jxm1mq005ecmxxwb5bckhc
superadmin;cm4jxm1er0007cmxx8r7nsdj2
superadmin;cm4jxm1el0004cmxxj5c0uvja
superadmin;cm4jxm1eg0001cmxxzhti61dj
superadmin;cm4jxm1f1000ecmxx3ripu70g
superadmin;cm4jxm1en0005cmxxikz0hzcg
superadmin;cm4jxm1m5004ycmxxztre4fek
superadmin;cm4jxm1f5000hcmxx2zjfz2or
superadmin;cm4jxm1f4000gcmxxbmof30ih
superadmin;cm4jxm1ev000acmxxj60dnrud
superadmin;cm4jxm1fu000kcmxx9gc3a2iq
superadmin;cm4jxm1ex000bcmxx6snixuq5
superadmin;cm4jxm1ey000ccmxx67n40bv2
superadmin;cm4jxm1es0008cmxxkdx8plrv
superadmin;cm4jxm1ek0003cmxxp0ksvqzz
superadmin;cm4jxm1eu0009cmxx46lvpou5
superadmin;cm4jxm1f7000icmxxxnb64bl2
superadmin;cm4jxm1eo0006cmxxye497rtj
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1e60000cmxxvfh9bcx7
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1ei0002cmxx3nles1vn
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f0000dcmxxy7rqjqwq
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1m2004wcmxx6kfimdiu
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1mg0056cmxxmnay32b1
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1mj0058cmxxmul9bi38
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1fz000lcmxxfnhjx840
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1m80050cmxxo6eme9of
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1fp000jcmxxv6hh6f0j
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1mt005gcmxxulz4woy2
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f3000fcmxx7ctuxcdx
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1mq005ecmxxwb5bckhc
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1er0007cmxx8r7nsdj2
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1el0004cmxxj5c0uvja
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1eg0001cmxxzhti61dj
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f1000ecmxx3ripu70g
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1en0005cmxxikz0hzcg
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1m5004ycmxxztre4fek
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f5000hcmxx2zjfz2or
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f4000gcmxxbmof30ih
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1ev000acmxxj60dnrud
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1fu000kcmxx9gc3a2iq
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1ex000bcmxx6snixuq5
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1ey000ccmxx67n40bv2
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1es0008cmxxkdx8plrv
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1ek0003cmxxp0ksvqzz
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1eu0009cmxx46lvpou5
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1f7000icmxxxnb64bl2
cm4jxm2p3006lcmxxx9kvejm8;cm4jxm1eo0006cmxxye497rtj
cm4jxm2p3006pcmxxhiridxpo;cm4jxm1m2004wcmxx6kfimdiu
cm4jxm2p3006pcmxxhiridxpo;cm4jxm1m5004ycmxxztre4fek
cm4jxm2p3006pcmxxhiridxpo;cm4jxm1m80050cmxxo6eme9of
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1fp000jcmxxv6hh6f0j
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1fu000kcmxx9gc3a2iq
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1m2004wcmxx6kfimdiu
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1m5004ycmxxztre4fek
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1m80050cmxxo6eme9of
cm4jxm2p3006ncmxxut1q2v7k;cm4jxm1ey000ccmxx67n40bv2
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1en0005cmxxikz0hzcg
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1eo0006cmxxye497rtj
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1ey000ccmxx67n40bv2
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1fz000lcmxxfnhjx840
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1m2004wcmxx6kfimdiu
cm4jxm2p3006mcmxxecdfxxnw;cm4jxm1m4004xcmxxoo2geaza
